executive	경영진, 임원 / 경영의, 운영의
inventory	재고, 재고 목록 / 재고 조사
feature	특징, 특색 / 특집 기사
acknowledge	수신을 인정하다 / 감사를 표현하다
voucher	상품권, 바우처 / 영수증, 증명서
estimate	견적서, 평가 / 추산하다, 평가하다
resume	재개하다 / 이력서
issue	문제, 이슈 / 발행하다
property	재산, 소유물 / 부동산
eligible	자격이 있는 / 적격의
initiative	주도권 / 새로운 계획, 선도적 행동
culinary	요리의, 음식의
extensive	광범위한 / 대규모의
deposit	예치금, 보증금 / 침전물
retail	소매 / 소매의
affordable	가격이 알맞은
grant	승인하다 / 수여하다
significantly	상당히, 현저하게 / 중요한 정도로, 의미 있게
reserve	예약하다 / 보유하다
application	신청, 지원서 / 적용, 응용
address	주소 / 문제를 다루다
suppose	추정하다 / 생각하다
charge	요금 / 책임
expire	기한이 만료되다 / 효력이 끝나다
refund	환불 / 환불하다
promote	촉진하다 / 승진시키다
revenue	수익, 수입 / 세입
opportunity	기회 / 적기, 호기
valid	유효한 / 타당한
confidential	기밀의, 비밀의 / 신뢰를 요하는
figure	숫자 / 인물
traffic	교통, 차량의 흐름 / 인터넷 트래픽, 데이터 흐름
audience	청중, 관객 / 독자
occupy	공간을 차지하다 / 시간이나 주의를 차지하다
approximately	대략 / 거의
complimentary	무료의 / 칭찬의
outstanding	미해결의, 미지불된 / 뛰어난, 두드러진
imperative	긴급한, 필수적인 / 긴급한 문제, 필수적인 것
suggest	제안하다, 권하다
decline	감소하다 / 거절하다
balance	균형 / 잔액
account	계좌 / 설명
proceed	계속하다, 진행하다 / 시작하다
amenities	편의시설 / 예의, 기품
renowned	유명한
preserve	보존하다 / 저장식품
simply	단순하게, 간결하게 / 그저, 단지
presence	존재, 출석 / 풍모, 영향력
laboratory	실험실
effective	효과적인 / 효력을 발휘하는
enhance	향상시키다 / 강화하다
insurance	보험
spacious	넓은, 공간이 많은
ingredient	재료, 성분 / 성공 등의 요소
withdraw	철회하다 / 철수하다
banquet	연회, 만찬 / 성대한 식사
experiment	실험 / 실험하다
specific	구체적인, 명확한 / 특정한
specialize	전문화하다
affect	영향을 미치다 / 정서, 감정
equip	장비를 제공하다 / 준비시키다
reimbursement	환급, 상환 / 보상
premises	건물과 토지, 부지 / 구내
renovate	수리하다, 개조하다
versatile	다재다능한 / 다용도의
implement	실행하다 / 도구, 장치
informed	정보에 기반한
commitment	약속 / 헌신
direct	직접적인 / 명령하다, 지시하다
facilitate	용이하게 하다, 촉진하다
commission	수수료 / 위원회
cover	덮다 / 포함하다
encourage	격려하다 / 촉진하다
persuade	설득하다 / 납득시키다
accompany	동반하다, 함께 가다 / 수반하다
candidate	후보자, 지원자 / 시험응시자
renew	갱신하다 / 재개하다
launch	출시하다 / 시작하다
reliable	믿을 수 있는, 신뢰할 수 있는
inform	알리다 / 정보 제공하다
distribute	배포하다, 분배하다
strategy	전략 / 전술, 방법
motivate	동기부여하다 / 유도하다, 자극하다
consider	고려하다 / ~라고 여기다
remind	상기시키다 / 떠올리게 하다
suitable	적합한, 알맞은 / 어울리는
beverage	음료
portable	휴대할 수 있는 / 휴대용 기기
essential	필수적인 / 필수 요소
consent	동의, 허락 / 동의하다, 허락하다
tentative	잠정적인, 임시의 / 시도적인, 시험적인
respective	각각의, 각자의
arrange	정리하다 / 준비하다
associate	관련시키다, 연관짓다 / 어울리다, 교제하다
publicity	언론 보도, 광고 / 선전, 홍보
instructor	강사, 교관
contractor	계약자, 도급업자
relevant	관련 있는 / 적절한
weekly	매주 열리는 / 매주
imply	암시하다
reveal	드러내다, 폭로하다 / 보여주다, 나타내다
assembly	조립 / 집회, 회의
procedure	절차, 과정 / 수술, 의료 절차
overdue	기한이 지난 / 연체된
merchandise	상품, 물품 / 판매하다, 홍보하다
authority	권한 / 당국
fiscal	재정의, 회계의
timely	시기적절한
duty	책임, 의무 / 관세, 세금
impose	부과하다 / 강요하다, 강제하다
merger	합병 / 융합
demonstration	증명, 시연 / 시위
fluctuate	변동하다
designate	지정하다, 임명하다 / 지정된, 임명된
devoted	헌신적인, 열정적인 / 사랑하는
stock	재고 / 주식
promptly	지체 없이, 즉시 / 정확히
expand	확장하다 / 팽창하다
variety	다양성, 여러 가지 종류 / 품종, 종
immediately	즉시, 곧
capacity	수용 능력, 용량 / 역할, 지위
conduct	수행하다 / 지휘하다
transaction	거래 / 처리
personnel	직원, 인원 / 인사부서
due	기한이 된 / 적절한, 맞는
assure	안심시키다 / 보증하다, 확언하다
responsibility	책임, 의무 / 담당, 역할
progress	발전, 진전 / 진보하다, 나아가다
supply	공급, 비축품 / 제공하다, 공급하다
release	발표하다, 공개하다 / 석방하다, 자유롭게 하다
receipt	수령, 영수증 / 영수증을 받음
refuse	거절하다 / 폐기물, 쓰레기
prosperous	번영하는
lean	기대다 / 기울이다
pedestrian	보행자 / 평범한, 재미없는
tenant	임차인, 세입자
flaw	결함, 흠 / 결함을 만들다
guarantee	보증, 보장 / 보장하다, 확실히 하다
loan	대출, 차용금 / 빌려주다, 대출하다
admit	인정하다 / 입장을 허용하다
expense	비용 / 지출
description	묘사, 설명
statement	진술, 발표 / 명세서, 서류
regulation	규제, 규정
material	재료, 물질 / 자료, 정보
policy	정책, 방침 / 보험 증권
assume	가정하다 / 맡다
critical	중요한, 중대한 / 위기의, 위험한
alleviate	완화하다, 덜어주다
solicit	요청하다, 간청하다 / 청구하다
unprecedented	전례 없는
produce	생산하다 / 농산물
amount	양, 총액 / 합계가 ~에 이르다
commute	출퇴근하다 / 형을 감형하다
corporate	기업의, 법인의
practical	실용적인 / 실제적인, 현실적인
deny	부인하다 / 거부하다, 허락하지 않다
diverse	다양한, 여러 가지의
fulfill	요구를 충족시키다 / 약속을 완수하다
clarify	명확하게 하다 / 분명하게 하다
draft	초안, 초고 / 징병, 선발
recipe	요리법, 조리법 / 지침, 비법
performance	성과 / 공연
invoice	청구서 / 청구서를 보내다
useful	유용한 / 쓸모있는
durable	오래 지속되는, 견고한
subscribe	정기 구독을 신청하다 / 서비스에 가입하다
coverage	보상 범위 / 보도 범위
approve	승인하다 / 찬성하다
agenda	의제, 일정 / 할 일 목록
boost	증가시키다, 증대하다 / 증가, 증대
access	접근, 이용 권한 / 접근하다, 이용하다
facility	시설 / 쉬움, 유창함
diagnosis	진단 / 문제 분석, 식별
ownership	소유권 / 책임
recession	불경기, 경기 침체
status	상태 / 지위
accountable	책임 있는
dependable	신뢰할 수 있는
adjustment	조정 / 적응
prestigious	명망 있는, 존경받는
recognition	인정, 승인 / 알아보기, 인식
regret	후회하다 / 유감스럽게 생각하다
unemployment	실업 / 실업률
documentation	문서 작성, 기록 / 증거 자료, 서류
compete	경쟁하다
range	범위 / 범위가 ~에 이르다
conclusion	결론 / 종결
environment	자연환경 / 생활환경, 분위기
expose	드러내다, 폭로하다 / 노출시키다
appropriate	적절한 / 도용하다, 사용하다
negotiate	협상하다 / 교섭하다
investment	투자 / 투자금, 투자액
productivity	생산성
proposal	제안, 제의 / 청혼
manual	손으로 작동하는, 수동의 / 설명서, 안내서
potential	잠재력, 가능성 / 잠재적인, 가능성이 있는
delay	지연 / 연기하다
obtain	얻다, 획득하다 / 확보하다
restrict	제한하다 / 통제하다
substitute	대체하다, 대리하다 / 대체품, 대리인
appraisal	평가 / 감정
temporarily	일시적으로 / 잠시 동안
remain	어떤 상태를 유지하다 / 남아 있다
relieve	고통을 덜어주다 / 업무에서 해방시키다
beneficial	이익이 되는
deliver	배송하다 / 연설하다
expect	예상하다, 기대하다 / 요구하다, 요청하다
damage	손상, 피해 / 손상시키다, 피해를 입히다
seal	봉인하다 / 확정하다, 마무리하다
stagnant	정체된, 흐르지 않는
tenure	재임 기간, 임기 / 종신 재직권, 보유
setback	방해, 좌절 / 후퇴
autograph	사인 / 사인하다
associated	관련된
arrival	도착 / 신생, 도래
dimension	크기, 치수 / 양상, 측면
consistency	일관성 / 액체의 농도, 밀도
invent	발명하다 / 고안하다, 만들어내다
generous	관대한 / 풍부한, 넉넉한
enrich	풍요롭게 하다 / 영양소나 성분을 강화하다
transfer	이동하다 / 전근하다
structure	구조 / 구조를 설계하다
employment	고용, 직업 / 취업, 고용 상태
destination	목적지
complaint	불평, 불만 / 고충, 문제점
atmosphere	분위기, 감정 / 대기, 공기층
host	주최자, 주인 / 호스트 컴퓨터
classify	분류하다, 구분하다
district	구역, 지역
run	달리다 / 운영하다
projection	예상, 추정 / 영사, 투사
taste	맛, 풍미 / 맛보다
transportation	교통수단 / 운송
inspiration	영감, 동기부여 / 신선한 아이디어나 방안
adequate	충분한, 적절한 / 적합한
reputation	평판, 명성
rebate	환급금 / 환급하다
pension	연금 / 저렴한 호텔
payment	지불, 지급 / 청구 금액
permit	허가하다, 허용하다 / 허가증, 허가
reservation	예약 / 거리낌, 의구심
correspondence	서신 왕래 / 편지, 서한
escort	동반자, 안내자 / 동행하다, 호위하다
attire	의복, 옷차림
inclement	날씨가 궂은
scrutinize	면밀히 검토하다
exclusively	단독으로, 오로지
collaborate	협력하다 / 공동으로 작업하다
consistently	일관되게
commensurate	상응하는, 비례하는 / 상당하는
streamline	간소화하다, 효율화하다
freshness	신선함 / 새로움
endangered	멸종 위기에 처한
aware	알고 있는, 인식하고 있는 / 깨닫고 있는
convert	변환하다 / 개종하다, 신념을 바꾸다
contribute	기여하다 / 기부하다
fatigue	피로 / 피곤하게 하다
advance	진전 / 선불
alternative	대안 / 대안의
endeavor	노력, 시도 / 노력하다, 시도하다
confidence	자신감 / 신뢰
symptom	증상, 징후
yield	생산하다 / 양보하다
nutrition	영양
bounce	튀어 오르다 / 되돌아오다, 회복하다
curb	억제하다, 제한하다 / 억제, 제한
delinquent	연체된, 체납된 / 불량한, 비행의
terminate	끝내다 / 해고하다
plummet	급락하다 / 급락
complication	복잡한 문제, 어려움 / 합병증
consensus	의견 일치 / 합의
surplus	잉여, 과잉 / 남는, 과잉의
remedy	치료법, 해결책 / 개선하다, 해결하다
payable	지불해야 하는 / 지불해야 할 금액
utilize	활용하다 / 기회를 활용하다
superb	탁월한, 뛰어난
demolish	철거하다, 파괴하다 / 논리적으로 반박하다
chronic	만성적인
periodically	정기적으로
predecessor	선임자 / 이전의 것, 전신
markedly	두드러지게
precaution	예방 조치
discontinue	중단하다 / 종료하다
exquisite	매우 아름다운, 섬세한 / 정교한, 세밀한
bulk	대량 / 대부분
disruption	방해, 중단, 혼란
elegant	우아한, 품격 있는
assorted	다양한, 여러 가지 종류의
stage	단계 / 무대
deduct	공제하다, 차감하다 / 감액하다
counterfeit	위조품, 가짜 / 위조된, 가짜의
perishable	쉽게 상할 수 있는 / 부패하기 쉬운 식품
physician	의사 / 내과 의사
attentive	주의 깊은 / 세심한, 친절한
suburb	교외, 외곽 주거지
significant	중요한 / 상당한
attempt	시도, 노력 / 시도하다, 노력하다
landscape	풍경, 경치 / 지역 또는 영역
steadily	꾸준하게 / 착실하게
notice	공지 / 주목, 인지
applicant	지원자 / 신청자
process	절차, 과정 / 처리하다
foundation	기초, 토대 / 재단, 기금
celebrity	유명인사 / 유명세, 명성
accountant	회계사
donate	기부하다 / 기증하다
inconvenience	불편 / 불편을 끼치다
announce	발표하다, 공표하다
unusually	일반적이지 않게, 평소보다 더
improve	개선하다, 향상시키다 / 나아지다, 좋아지다
repair	수리하다 / 수리
warranty	품질보증서 / 보증 기간
replace	대체하다 / 교체하다
production	생산, 제작 / 생산량
subscription	구독, 가입 / 정기결제
rush	급함, 서두름 / 서두르다, 급히 가다
community	공동체, 지역 사회
operate	기계를 작동시키다 / 사업을 운영하다
fit	적합한, 알맞은 / 꼭 맞다
acquire	얻다, 획득하다 / 습득하다
confirm	확인하다, 확증하다 / 승인하다, 허가하다
attention	주의, 집중
concern	우려, 걱정 / 관련되다
interest	관심 / 이자
purchase	구매, 구입 / 구매하다, 구입하다
defective	결함이 있는
financial	재정의, 금전적인
compliance	준수, 따름 / 순응, 따름
lead	이끌다, 인도하다 / 어떤 결과로 이어지다
organize	정리하다 / 체계를 세우다
mistakenly	실수로, 잘못하여
attract	끌어당기다 / 유발하다, 유인하다
depart	출발하다 / 떠나다
donation	기부
summary	요약, 개요
awareness	인식, 의식 / 자각, 알고 있음
harvest	수확물 / 수확하다
plumber	배관공
review	검토, 평가 / 검토하다, 재검토하다
consumer	소비자
describe	묘사하다, 설명하다 / 특징짓다
provide	제공하다 / 준비하다, 마련하다
convenience	편리함, 편리한 것 / 편의 시설
aim	목표 / 목표로 하다, ~을 지향하다
prospective	장래의, 예비의 / 가망 있는, 가능성이 높은
exceptional	뛰어난, 특출한 / 예외적인, 이례적인
result	결과 / 결과로서 발생하다
advantage	장점, 유리한 점 / 유리하게 하다
satisfaction	만족감 / 충족, 이행
dedicated	헌신적인, 전념하는 / 특정 목적을 위한
emphasis	강조 / 중점
labor	노동, 일 / 노동하다, 힘쓰다
foster	발전시키다, 육성하다 / 양육하다, 돌보다
demand	수요 / 요구하다
selection	선택된 것, 선발된 사람 / 선택 과정, 선발 과정
conscious	의식하는, 자각하는 / 의식이 있는
efficiently	효율적으로 / 능률적으로
comparable	비교할 만한 / 유사한
corrosion	부식 / 점차적인 손상
personal	개인적인 / 사적인
popular	인기 있는 / 대중의
influence	영향 / 영향을 미치다
dramatic	극적인, 급격한 / 인상적인, 감정을 자극하는
aid	도움, 지원 / 돕다, 지원하다
fascinating	매혹적인
concentrate	집중하다 / 사람이나 물자를 모으다
lecture	강의, 강연 / 강의하다, 연설하다
ideal	이상적인 / 최적의
worth	~의 가치가 있는 / 가치
value	가치, 중요성 / 평가하다, 존중하다
introduce	도입하다 / 소개하다
attend	참석하다 / 돌보다
method	방법, 방식 / 체계, 체계성
permanent	영구적인, 지속적인 / 계속되는, 변하지 않는
recovery	회복 / 복구
object	물건, 사물 / 목적, 목표
attain	도달하다 / 나이나 기간을 맞이하다
convene	소집하다 / 모이다
eliminate	제거하다, 없애다 / 탈락시키다
expertise	전문 지식, 전문 기술 / 전문가 의견
retain	유지하다, 보유하다 / 기억하다
hesitate	주저하다, 망설이다 / 망설이며 말하다
schedule	일정, 시간표 / 일정을 잡다, 계획하다
project	프로젝트, 계획 / 예상하다, 예측하다
credit	신용, 신뢰 / 입금, 잔액
accrue	증가하다, 축적되다
dig	땅을 파다 / 정보를 찾다
remit	송금하다 / 면제하다
favorable	호의적인 / 유리한
state	상태 / 주, 국가
patio	파티오, 테라스 / 외부 휴식 공간
recreational	여가의, 오락의
valley	계곡, 골짜기
skeptical	의심 많은
positive	긍정적인 / 확신하는
economy	경제 / 절약, 경제성
propose	제안하다 / 청혼하다
debut	첫 등장, 데뷔 / 첫선을 보이다, 데뷔하다
fire	불, 화재 / 해고하다
hire	고용하다 / 임대하다
attitude	태도, 마음가짐 / 입장, 견해
region	지역, 구역 / 분야, 영역
dispose	처리하다, 처분하다 / 배치하다
divide	나누다, 분할하다 / 갈라놓다, 분열시키다
proficiency	숙련도 / 능력
managerial	경영의, 관리의
growth	성장, 발전 / 증가, 증식
independent	독립적인 / 자립적인
apologize	사과하다
refer	언급하다 / 참조하다
follow	뒤를 따르다 / 지시나 규칙을 따르다
broad	넓은, 광범위한 / 일반적인, 종합적인
diversified	다양한, 다각화된 / 다각화하다, 다양화하다
ailing	병든, 아픈 / 경제적으로 어려움을 겪고 있는
occupancy	점유, 사용
hospitality	환대 / 환대 산업
furnished	가구가 비치된 / 가구를 비치하다, 제공하다
enlightening	계몽적인, 유익한 / 계몽하다, 설명하다
municipal	시의, 지방 자치의
regard	간주하다, 여기다 / 관련되다
routinely	정기적으로 / 일상적으로
overview	개요 / 전반적인 설명, 개괄
qualify	자격을 얻다 / 적합하다
determine	결정하다 / 확정하다, 판별하다
overcharge	과다 청구하다 / 과충전하다
keep	유지하다 / 보관하다
costume	복장, 의상
evenly	고르게, 균등하게 / 평평하게
industry	산업 / 근면
highlight	강조하다 / 가장 중요한 부분, 하이라이트
journal	일기, 기록 / 학술지, 정기간행물
shore	해안, 물가 / 지지하다, 강화하다
statue	동상, 조각상
astronomy	천문학
flexible	유연한, 융통성 있는
circulate	순환하다 / 배포하다, 퍼뜨리다
merit	장점, 가치 / 받을 만하다, 가치가 있다
moderate	적당한, 중간의 / 완화하다, 조정하다
